node_id,date,metric_name,value,delay_flag
SUP_01,2025-01-01,Production,424.86,0
SUP_01,2025-01-02,Production,404.92,0
SUP_01,2025-01-03,Production,541.78,0
SUP_01,2025-01-04,Production,508.32,0
SUP_01,2025-01-05,Production,443.06,0
SUP_01,2025-01-06,Production,408.6,0
SUP_01,2025-01-07,Production,447.56,0
SUP_01,2025-01-08,Production,515.81,0
SUP_01,2025-01-09,Production,525.9,0
SUP_01,2025-01-10,Production,444.59,0
SUP_01,2025-01-11,Production,409.4,0
SUP_01,2025-01-12,Production,459.27,0
SUP_01,2025-01-13,Production,461.74,0
SUP_01,2025-01-14,Production,472.94,0
SUP_01,2025-01-15,Production,408.81,0
SUP_01,2025-01-16,Production,608.07,0
SUP_01,2025-01-17,Production,392.89,0
SUP_01,2025-01-18,Production,587.36,0
SUP_01,2025-01-19,Production,576.57,0
SUP_01,2025-01-20,Production,536.02,0
SUP_01,2025-01-21,Production,620.2,0
SUP_01,2025-01-22,Production,500.48,0
SUP_01,2025-01-23,Production,421.24,0
SUP_01,2025-01-24,Production,402.5,0
SUP_01,2025-01-25,Production,389.05,0
SUP_01,2025-01-26,Production,526.05,0
SUP_01,2025-01-27,Production,315.53,0
SUP_01,2025-01-28,Production,320.82,0
SUP_01,2025-01-29,Production,589.18,0
SUP_01,2025-01-30,Production,541.99,0
SUP_01,2025-01-31,Production,487.63,0
SUP_01,2025-02-01,Production,533.86,0
SUP_01,2025-02-02,Production,520.32,0
SUP_01,2025-02-03,Production,433.03,0
SUP_01,2025-02-04,Production,316.62,0
SUP_01,2025-02-05,Production,566.53,0
SUP_01,2025-02-06,Production,490.52,0
SUP_01,2025-02-07,Production,325.01,0
SUP_01,2025-02-08,Production,462.92,0
SUP_01,2025-02-09,Production,407.43,0
SUP_01,2025-02-10,Production,439.52,0
SUP_01,2025-02-11,Production,420.21,0
SUP_01,2025-02-12,Production,500.06,0
SUP_01,2025-02-13,Production,431.07,0
SUP_01,2025-02-14,Production,345.11,0
SUP_01,2025-02-15,Production,511.12,0
SUP_01,2025-02-16,Production,494.12,0
SUP_01,2025-02-17,Production,320.51,0
SUP_01,2025-02-18,Production,487.16,0
SUP_01,2025-02-19,Production,530.61,0
SUP_01,2025-02-20,Production,436.15,0
SUP_01,2025-02-21,Production,467.04,0
SUP_01,2025-02-22,Production,380.58,0
SUP_01,2025-02-23,Production,291.06,0
SUP_01,2025-02-24,Production,497.39,0
SUP_01,2025-02-25,Production,442.02,0
SUP_01,2025-02-26,Production,489.02,0
SUP_01,2025-02-27,Production,428.68,0
SUP_01,2025-02-28,Production,426.35,0
SUP_01,2025-03-01,Production,464.74,0
SUP_01,2025-03-02,Production,444.25,0
SUP_01,2025-03-03,Production,528.67,0
SUP_01,2025-03-04,Production,411.5,0
SUP_01,2025-03-05,Production,318.82,0
SUP_01,2025-03-06,Production,463.09,0
SUP_01,2025-03-07,Production,331.64,0
SUP_01,2025-03-08,Production,219.87,0
SUP_01,2025-03-09,Production,350.39,0
SUP_01,2025-03-10,Production,410.17,0
SUP_01,2025-03-11,Production,377.71,0
SUP_01,2025-03-12,Production,310.44,0
SUP_01,2025-03-13,Production,429.6,0
SUP_01,2025-03-14,Production,560.48,0
SUP_01,2025-03-15,Production,525.33,0
SUP_01,2025-03-16,Production,450.75,0
SUP_01,2025-03-17,Production,533.66,0
SUP_01,2025-03-18,Production,410.0,0
SUP_01,2025-03-19,Production,369.9,0
SUP_01,2025-03-20,Production,511.62,0
SUP_01,2025-03-21,Production,351.59,0
SUP_01,2025-03-22,Production,480.33,0
SUP_01,2025-03-23,Production,447.67,0
SUP_01,2025-03-24,Production,417.06,0
SUP_01,2025-03-25,Production,408.4,0
SUP_01,2025-03-26,Production,553.28,0
SUP_01,2025-03-27,Production,305.66,0
SUP_01,2025-03-28,Production,474.43,0
SUP_01,2025-03-29,Production,423.79,0
SUP_01,2025-03-30,Production,382.66,0
SUP_01,2025-03-31,Production,453.54,0
SUP_01,2025-04-01,Production,478.68,0
SUP_01,2025-04-02,Production,444.56,0
SUP_01,2025-04-03,Production,472.25,0
SUP_01,2025-04-04,Production,578.49,0
SUP_01,2025-04-05,Production,395.43,0
SUP_01,2025-04-06,Production,487.96,0
SUP_01,2025-04-07,Production,292.1,0
SUP_01,2025-04-08,Production,491.5,0
